SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-02 — Decision Authority Matrix,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels,TSI-OS 04-01 — Command Levels (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-01 — Command Levels (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-08  TSI Divisions,TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-07  Training Matrix,TSI-OS 01-07 — Training Matrix.gsheet,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 01-07 — Training Matrix.gsheet,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity),AI Behavior Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,AI Behavior Register.gsheet,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-02  Decision Control Register,Decision Control Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,Decision Control Register.gsheet,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-04  Document Homes,TSI-OS 01-04 — Document Homes (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 01-04 — Document Homes (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-06  OS Change Log,TSI-OS 01-06 — OS Change Log (Master).gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 01-06 — OS Change Log (Master).gsheet,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-05  Emergency OS Restore Procedure,TSI-OS 01-05 — Emergency OS Restore Procedure (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 01-05 — Emergency OS Restore Procedure (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-05 — Brand Strategy Framework,TSI-OS 05-05 — Brand Strategy Framework (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 05-05 — Brand Strategy Framework (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-01 — Enterprise Build Strategy,TSI-OS 05-01 — Enterprise Build Strategy (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 05-01 — Enterprise Build Strategy (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-02 — 3-Year Roadmap,TSI-OS 05-02 — Three-Year Roadmap (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 05-02 — Three-Year Roadmap (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-04 — Quarterly OKRs,TSI-OS 05-04 — Quarterly OKRs (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 05-04 — Quarterly OKRs (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-03 — Annual Plan Template,TSI-OS 05-03 — Annual Plan Template (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 05-03 — Annual Plan Template (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-02 — Command Words Register,TSI-OS 02-02 — Command Words Register.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 02-02 — Command Words Register.gdoc,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3),TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-03 — Instruction Chain Hierarchy,TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-06 — Legal Documents Standard,TSI-OS 03-06 — Legal Documents Standard (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-06 — Legal Documents Standard (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-04 — Approval Workflow,TSI-OS 03-04 — Approval Workflow (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-04 — Approval Workflow (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-07 — Versioning Format,TSI-OS 03-07 — Versioning Format.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-07 — Versioning Format.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-01 — Naming Convention,TSI-OS 03-01 — Naming Convention (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-01 — Naming Convention (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-03 — Document Types,TSI-OS 03-03 — Document Types (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-03 — Document Types (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-05 — Execution Only Documents,TSI-OS 03-05 — Execution Only Documents (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-05 — Execution Only Documents (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-08 — Disposal & Archive Rules,TSI-OS 03-08 — Disposal & Archive Rules (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-08 — Disposal & Archive Rules (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-02 — Folder Standard,TSI-OS 03-02 — Folder Standard (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 03-02 — Folder Standard (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\5. ERROR RECOVERY  ACP v3 RESTORE PROCEDURE,ERROR RECOVERY  ACP v3 RESTORE PROCEDURE.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,ERROR RECOVERY  ACP v3 RESTORE PROCEDURE.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\1. SCOPE,Agent and Automation Scope Document.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Agent and Automation Scope Document.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\4. AI FAILURE PREVENTION RULES (ZERO-DRIFT SYSTEM),AI Failure Prevention Rules (Zero-Drift System).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,AI Failure Prevention Rules (Zero-Drift System).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\7. VERSION HISTORY,Version History.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Version History.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\8. SUMMARY,ACP v3 Guarantees Summary.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,ACP v3 Guarantees Summary.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\6. SECURITY,ACP v3 Security Policy.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Policies\Security_And_Access_Control\INCOMING\,ACP v3 Security Policy.gdoc,Decision A canonical security location,High
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\2. ACP v3 — MEMORY CHAIN (MANDATORY),ACP v3 — MEMORY CHAIN (MANDATORY).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,ACP v3 — MEMORY CHAIN (MANDATORY).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\2. Master Workflow List (OS-06-A),Master Workflow List (OS-06-A).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Master Workflow List (OS-06-A).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\1. AI Workflow Architecture Overview,AI Workflow Architecture Overview.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,AI Workflow Architecture Overview.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\5. Workflow Templates,Workflow Templates.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Workflow Templates.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\4. Security + Continuity Rules (OS-06-C),Security and Continuity Rules (OS-06-C).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Policies\Security_And_Access_Control\INCOMING\,Security and Continuity Rules (OS-06-C).gdoc,Decision A canonical security location,High
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\3. Permissions Map (OS-06-B),Permissions Map (OS-06-B).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Permissions Map (OS-06-B).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.2 Role in the TSI Ecosystem,TSI — SAI-COM ROLE IN THE ECOSYSTEM.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — SAI-COM ROLE IN THE ECOSYSTEM.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.3 IMS-Driven Design Principles,TSI — SAI-COM IMS-DRIVEN DESIGN PRINCIPLES.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — SAI-COM IMS-DRIVEN DESIGN PRINCIPLES.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.1 SAI-COM Overview (What It Is),TSI—SAI-COM OVERVIEW v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI—SAI-COM OVERVIEW v1.0 MASTER.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.5 Predictive Analytics Roadmap,TSI — PREDICTIVE ANALYTICS ROADMAP.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — PREDICTIVE ANALYTICS ROADMAP.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.3 Smart Tools Integration Roadmap,TSI — SMART TOOLS INTEGRATION ROADMAP.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — SMART TOOLS INTEGRATION ROADMAP.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.2 AI Capability Roadmap,TSI — AI CAPABILITY ROADMAP v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — AI CAPABILITY ROADMAP v1.0 MASTER.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.4 IMS Automation Roadmap,TSI — IMS AUTOMATION ROADMAP.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — IMS AUTOMATION ROADMAP.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 10 — SAI-COM Roadmap (V1 → V2 → V3)\10.1 SAI-COM Version Roadmap,TSI — SAI-COM VERSION ROADMAP (V1 → V3).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — SAI-COM VERSION ROADMAP (V1 → V3).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.3 Device Upload API (Smart Glasses Helmets),TSI — DEVICE UPLOAD API (SMART TOOLS).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — DEVICE UPLOAD API (SMART TOOLS).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.4 Vision Processing Pipeline API,TSI — VISION PROCESSING PIPELINE API v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — VISION PROCESSING PIPELINE API v1.0 MASTER.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.1 REST API Endpoints (External),TSI — SAI-COM REST API ENDPOINTS (EXTERNAL) v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — SAI-COM REST API ENDPOINTS (EXTERNAL) v1.0 MASTER.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.5 Export   IMS Integration API,TSI — EXPORT & IMS INTEGRATION API.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — EXPORT & IMS INTEGRATION API.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 5 — API Framework\5.2 Internal API Endpoints (SAI  -  SAI-COM),TSI - INTERNAL API ENDPOINTS.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI - INTERNAL API ENDPOINTS.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.5 Audit Trail Requirements,TSI — AUDIT TRAIL REQUIREMENTS.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — AUDIT TRAIL REQUIREMENTS.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 4 — Databases & Storage\4.1 Evidence Storage Model (Photo Video),TSI — EVIDENCE STORAGE MODEL (PHOTO VIDEO).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI — EVIDENCE STORAGE MODEL (PHOTO VIDEO).gdoc,Staging pending classification,Low
